feature
DL0
DG6
DL1
FL4
DG3
GN5
GN4
MT2
GN3
DG1
MT10
GN2
DG4
AA7
DG5_4
AA15
DG8a
AA14
DL14
AA4
DL24
FL10
IFI14_2
LN1B
